Date,Song,Artist
1965-07-14,Dear Heart,Andy Williams
1965-07-14,The Beach Boys Today!,The Beach Boys
1965-07-14,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-07-14,The Rolling Stones; Now!,The Rolling Stones
1965-07-14,Cast Your Fate To The Wind,Sounds Orchestral
1965-07-14,Bringing It All Back Home,Bob Dylan
1965-07-14,Today-My Way,Nancy Wilson
1965-07-14,Goldfinger,Soundtrack
1965-07-14,My Fair Lady,Soundtrack
1965-07-14,A Song Will Rise,Peter| Paul & Mary
1965-07-14,Girl Happy,Elvis Presley
1965-07-14,The Return Of Roger Miller,Roger Miller
1965-07-14,Blue Midnight,Bert Kaempfert And His Orchestra
1965-07-14,Where Did Our Love Go,The Supremes
1965-07-21,Beatles VI,The Beatles
1965-07-21,Herman's Hermits On Tour,Herman's Hermits
1965-07-21,Mary Poppins,Soundtrack
1965-07-21,The Sound Of Music,Soundtrack
1965-07-21,My Name Is Barbra,Barbra Streisand
1965-07-21,Dear Heart,Andy Williams
1965-07-21,Introducing Herman's Hermits,Herman's Hermits
1965-07-21,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-07-21,Today-My Way,Nancy Wilson
1965-07-21,The Rolling Stones; Now!,The Rolling Stones
1965-07-21,The Beach Boys Today!,The Beach Boys
1965-07-21,Bringing It All Back Home,Bob Dylan
1965-07-21,Cast Your Fate To The Wind,Sounds Orchestral
1965-07-21,Goldfinger,Soundtrack
1965-07-21,A Song Will Rise,Peter| Paul & Mary
1965-07-21,My Fair Lady,Soundtrack
1965-07-21,Girl Happy,Elvis Presley
1965-07-21,Fiddler On The Roof,Original Cast
1965-07-21,Where Did Our Love Go,The Supremes
1965-07-21,L-O-V-E,Nat King Cole
1965-07-28,Beatles VI,The Beatles
1965-07-28,Herman's Hermits On Tour,Herman's Hermits
1965-07-28,The Sound Of Music,Soundtrack
1965-07-28,Mary Poppins,Soundtrack
1965-07-28,My Name Is Barbra,Barbra Streisand
1965-07-28,Dear Heart,Andy Williams
1965-07-28,Today-My Way,Nancy Wilson
1965-07-28,Introducing Herman's Hermits,Herman's Hermits
1965-07-28,The Rolling Stones; Now!,The Rolling Stones
1965-07-28,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-07-28,The Beach Boys Today!,The Beach Boys
1965-07-28,Mr. Tambourine Man,The Byrds
1965-07-28,Bringing It All Back Home,Bob Dylan
1965-07-28,Just Once In My Life...,The Righteous Brothers
1965-07-28,Cast Your Fate To The Wind,Sounds Orchestral
1965-07-28,Fiddler On The Roof,Original Cast
1965-07-28,Goldfinger,Soundtrack
1965-07-28,My Fair Lady,Soundtrack
1965-07-28,A Song Will Rise,Peter| Paul & Mary
1965-07-28,Sinatra '65,Frank Sinatra
1965-08-04,Beatles VI,The Beatles
1965-08-04,Herman's Hermits On Tour,Herman's Hermits
1965-08-04,The Sound Of Music,Soundtrack
1965-08-04,Mary Poppins,Soundtrack
1965-08-04,My Name Is Barbra,Barbra Streisand
1965-08-04,Mr. Tambourine Man,The Byrds
1965-08-04,The Rolling Stones; Now!,The Rolling Stones
1965-08-04,Summer Days (And Summer Nights!!),The Beach Boys
1965-08-04,Dear Heart,Andy Williams
1965-08-04,The Beach Boys Today!,The Beach Boys
1965-08-04,Just Once In My Life...,The Righteous Brothers
1965-08-04,Today-My Way,Nancy Wilson
1965-08-04,Bringing It All Back Home,Bob Dylan
1965-08-04,Sinatra '65,Frank Sinatra
1965-08-04,Fiddler On The Roof,Original Cast
1965-08-04,Introducing Herman's Hermits,Herman's Hermits
1965-08-04,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-08-04,My Fair Lady,Soundtrack
1965-08-04,Goldfinger,Soundtrack
1965-08-04,The Genius Of Jankowski!,Horst Jankowski
1965-08-11,Beatles VI,The Beatles
1965-08-11,Herman's Hermits On Tour,Herman's Hermits
1965-08-11,Out Of Our Heads,The Rolling Stones
1965-08-11,Summer Days (And Summer Nights!!),The Beach Boys
1965-08-11,The Sound Of Music,Soundtrack
1965-08-11,Mr. Tambourine Man,The Byrds
1965-08-11,My Name Is Barbra,Barbra Streisand
1965-08-11,Mary Poppins,Soundtrack
1965-08-11,Just Once In My Life...,The Righteous Brothers
1965-08-11,Bringing It All Back Home,Bob Dylan
1965-08-11,The Beach Boys Today!,The Beach Boys
1965-08-11,Sinatra '65,Frank Sinatra
1965-08-11,The Rolling Stones; Now!,The Rolling Stones
1965-08-11,Dear Heart,Andy Williams
1965-08-11,Fiddler On The Roof,Original Cast
1965-08-11,Today-My Way,Nancy Wilson
1965-08-11,My Fair Lady,Soundtrack
1965-08-11,Goldfinger,Soundtrack
1965-08-11,The Genius Of Jankowski!,Horst Jankowski
1965-08-11,The 3rd Time Around,Roger Miller
1965-08-18,Out Of Our Heads,The Rolling Stones
1965-08-18,Beatles VI,The Beatles
1965-08-18,Summer Days (And Summer Nights!!),The Beach Boys
1965-08-18,Herman's Hermits On Tour,Herman's Hermits
1965-08-18,The Sound Of Music,Soundtrack
1965-08-18,Mr. Tambourine Man,The Byrds
1965-08-18,My Name Is Barbra,Barbra Streisand
1965-08-18,Mary Poppins,Soundtrack
1965-08-18,Just Once In My Life...,The Righteous Brothers
1965-08-18,Bringing It All Back Home,Bob Dylan
1965-08-18,Sinatra '65,Frank Sinatra
1965-08-18,The Beach Boys Today!,The Beach Boys
1965-08-18,My Fair Lady,Soundtrack
1965-08-18,Fiddler On The Roof,Original Cast
1965-08-18,Dear Heart,Andy Williams
1965-08-18,The 3rd Time Around,Roger Miller
1965-08-18,The Rolling Stones; Now!,The Rolling Stones
1965-08-18,Today-My Way,Nancy Wilson
1965-08-18,The Genius Of Jankowski!,Horst Jankowski
1965-08-18,Goldfinger,Soundtrack
1965-08-25,Out Of Our Heads,The Rolling Stones
1965-08-25,Beatles VI,The Beatles
1965-08-25,Summer Days (And Summer Nights!!),The Beach Boys
1965-08-25,Herman's Hermits On Tour,Herman's Hermits
1965-08-25,The Sound Of Music,Soundtrack
1965-08-25,My Name Is Barbra,Barbra Streisand
1965-08-25,Bringing It All Back Home,Bob Dylan
1965-08-25,Mary Poppins,Soundtrack
1965-08-25,Just Once In My Life...,The Righteous Brothers
1965-08-25,Sinatra '65,Frank Sinatra
1965-08-25,My Fair Lady,Soundtrack
1965-08-25,Mr. Tambourine Man,The Byrds
1965-08-25,The Beach Boys Today!,The Beach Boys
1965-08-25,The 3rd Time Around,Roger Miller
1965-08-25,The Rolling Stones; Now!,The Rolling Stones
1965-08-25,Fiddler On The Roof,Original Cast
1965-08-25,Dear Heart,Andy Williams
1965-08-25,The Genius Of Jankowski!,Horst Jankowski
1965-08-25,Marianne Faithfull,Marianne Faithfull
1965-08-25,The Nearness Of You,John Gary
1965-09-01,Out Of Our Heads,The Rolling Stones
1965-09-01,Summer Days (And Summer Nights!!),The Beach Boys
1965-09-01,The Sound Of Music,Soundtrack
1965-09-01,Beatles VI,The Beatles
1965-09-01,Look At Us,Sonny & Cher
1965-09-01,Herman's Hermits On Tour,Herman's Hermits
1965-09-01,Bringing It All Back Home,Bob Dylan
1965-09-01,Mary Poppins,Soundtrack
1965-09-01,My Name Is Barbra,Barbra Streisand
1965-09-01,Sinatra '65,Frank Sinatra
1965-09-01,Just Once In My Life...,The Righteous Brothers
1965-09-01,My Fair Lady,Soundtrack
1965-09-01,The 3rd Time Around,Roger Miller
1965-09-01,Mr. Tambourine Man,The Byrds
1965-09-01,The Rolling Stones; Now!,The Rolling Stones
1965-09-01,The Beach Boys Today!,The Beach Boys
1965-09-01,Dear Heart,Andy Williams
1965-09-01,Fiddler On The Roof,Original Cast
1965-09-01,Marianne Faithfull,Marianne Faithfull
1965-09-01,The Nearness Of You,John Gary
1965-09-08,Help! (Soundtrack),The Beatles
1965-09-08,Look At Us,Sonny & Cher
1965-09-08,Out Of Our Heads,The Rolling Stones
1965-09-08,The Sound Of Music,Soundtrack
1965-09-08,Summer Days (And Summer Nights!!),The Beach Boys
1965-09-08,Herman's Hermits On Tour,Herman's Hermits
1965-09-08,Mary Poppins,Soundtrack
1965-09-08,Beatles VI,The Beatles
1965-09-08,Sinatra '65,Frank Sinatra
1965-09-08,Bringing It All Back Home,Bob Dylan
1965-09-08,My Name Is Barbra,Barbra Streisand
1965-09-08,The In Crowd,Ramsey Lewis Trio
1965-09-08,The 3rd Time Around,Roger Miller
1965-09-08,Just Once In My Life...,The Righteous Brothers
1965-09-08,Marianne Faithfull,Marianne Faithfull
1965-09-08,The Beach Boys Today!,The Beach Boys
1965-09-08,The Nearness Of You,John Gary
1965-09-08,What's New Pussycat?,Soundtrack
1965-09-08,My Fair Lady,Soundtrack
1965-09-08,Mr. Tambourine Man,The Byrds
1965-09-15,Help! (Soundtrack),The Beatles
1965-09-15,Look At Us,Sonny & Cher
1965-09-15,Out Of Our Heads,The Rolling Stones
1965-09-15,The Sound Of Music,Soundtrack
1965-09-15,Herman's Hermits On Tour,Herman's Hermits
1965-09-15,The In Crowd,Ramsey Lewis Trio
1965-09-15,Summer Days (And Summer Nights!!),The Beach Boys
1965-09-15,Mary Poppins,Soundtrack
1965-09-15,Beatles VI,The Beatles
1965-09-15,Bringing It All Back Home,Bob Dylan
1965-09-15,The Nearness Of You,John Gary
1965-09-15,Sinatra '65,Frank Sinatra
1965-09-15,Marianne Faithfull,Marianne Faithfull
1965-09-15,Just Once In My Life...,The Righteous Brothers
1965-09-15,My Name Is Barbra,Barbra Streisand
1965-09-15,What's New Pussycat?,Soundtrack
1965-09-15,The 3rd Time Around,Roger Miller
1965-09-15,The Beach Boys Today!,The Beach Boys
1965-09-15,My Fair Lady,Soundtrack
1965-09-15,Dear Heart,Andy Williams
1965-09-22,Help! (Soundtrack),The Beatles
1965-09-22,Look At Us,Sonny & Cher
1965-09-22,The Sound Of Music,Soundtrack
1965-09-22,The In Crowd,Ramsey Lewis Trio
1965-09-22,Out Of Our Heads,The Rolling Stones
1965-09-22,Herman's Hermits On Tour,Herman's Hermits
1965-09-22,Summer Days (And Summer Nights!!),The Beach Boys
1965-09-22,Mary Poppins,Soundtrack
1965-09-22,Bringing It All Back Home,Bob Dylan
1965-09-22,Beatles VI,The Beatles
1965-09-22,The Nearness Of You,John Gary
1965-09-22,Marianne Faithfull,Marianne Faithfull
1965-09-22,Just Once In My Life...,The Righteous Brothers
1965-09-22,What's New Pussycat?,Soundtrack
1965-09-22,My Name Is Barbra,Barbra Streisand
1965-09-22,My Fair Lady,Soundtrack
1965-09-22,Dear Heart,Andy Williams
1965-09-22,The Beach Boys Today!,The Beach Boys
1965-09-22,The Hit Sounds Of The Lettermen,The Lettermen
1965-09-22,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-09-29,Help! (Soundtrack),The Beatles
1965-09-29,Look At Us,Sonny & Cher
1965-09-29,The In Crowd,Ramsey Lewis Trio
1965-09-29,The Sound Of Music,Soundtrack
1965-09-29,Out Of Our Heads,The Rolling Stones
1965-09-29,Herman's Hermits On Tour,Herman's Hermits
1965-09-29,Bringing It All Back Home,Bob Dylan
1965-09-29,Mary Poppins,Soundtrack
1965-09-29,Summer Days (And Summer Nights!!),The Beach Boys
1965-09-29,Beatles VI,The Beatles
1965-09-29,My Fair Lady,Soundtrack
1965-09-29,Dear Heart,Andy Williams
1965-09-29,My Name Is Barbra,Barbra Streisand
1965-09-29,Marianne Faithfull,Marianne Faithfull
1965-09-29,More Hits By The Supremes,The Supremes
1965-09-29,The Hit Sounds Of The Lettermen,The Lettermen
1965-09-29,What's New Pussycat?,Soundtrack
1965-09-29,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-09-29,The Nearness Of You,John Gary
1965-09-29,Just Once In My Life...,The Righteous Brothers
1965-10-06,Help! (Soundtrack),The Beatles
1965-10-06,Look At Us,Sonny & Cher
1965-10-06,The In Crowd,Ramsey Lewis Trio
1965-10-06,The Sound Of Music,Soundtrack
1965-10-06,Out Of Our Heads,The Rolling Stones
1965-10-06,Bringing It All Back Home,Bob Dylan
1965-10-06,Mary Poppins,Soundtrack
1965-10-06,More Hits By The Supremes,The Supremes
1965-10-06,Herman's Hermits On Tour,Herman's Hermits
1965-10-06,Summer Days (And Summer Nights!!),The Beach Boys
1965-10-06,My Name Is Barbra,Barbra Streisand
1965-10-06,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-10-06,My Fair Lady,Soundtrack
1965-10-06,The Hit Sounds Of The Lettermen,The Lettermen
1965-10-06,Elvis For Everyone!,Elvis Presley
1965-10-06,What's New Pussycat?,Soundtrack
1965-10-06,Having A Wild Weekend,The Dave Clark Five
1965-10-06,Beatles VI,The Beatles
1965-10-06,Dear Heart,Andy Williams
1965-10-06,Just Once In My Life...,The Righteous Brothers
1965-10-13,Help! (Soundtrack),The Beatles
1965-10-13,Look At Us,Sonny & Cher
1965-10-13,The In Crowd,Ramsey Lewis Trio
1965-10-13,The Sound Of Music,Soundtrack
1965-10-13,Highway 61 Revisited,Bob Dylan
1965-10-13,More Hits By The Supremes,The Supremes
1965-10-13,Out Of Our Heads,The Rolling Stones
1965-10-13,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-10-13,Mary Poppins,Soundtrack
1965-10-13,My Name Is Barbra,Barbra Streisand
1965-10-13,Elvis For Everyone!,Elvis Presley
1965-10-13,Bringing It All Back Home,Bob Dylan
1965-10-13,The Hit Sounds Of The Lettermen,The Lettermen
1965-10-13,Herman's Hermits On Tour,Herman's Hermits
1965-10-13,Having A Wild Weekend,The Dave Clark Five
1965-10-13,Summer Days (And Summer Nights!!),The Beach Boys
1965-10-13,My Fair Lady,Soundtrack
1965-10-13,September Of My Year,Frank Sinatra
1965-10-13,Beatles VI,The Beatles
1965-10-13,Dear Heart,Andy Williams
1965-10-20,Help! (Soundtrack),The Beatles
1965-10-20,Look At Us,Sonny & Cher
1965-10-20,The Sound Of Music,Soundtrack
1965-10-20,Highway 61 Revisited,Bob Dylan
1965-10-20,The In Crowd,Ramsey Lewis Trio
1965-10-20,More Hits By The Supremes,The Supremes
1965-10-20,Out Of Our Heads,The Rolling Stones
1965-10-20,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-10-20,Mary Poppins,Soundtrack
1965-10-20,Elvis For Everyone!,Elvis Presley
1965-10-20,My Name Is Barbra,Barbra Streisand
1965-10-20,Bringing It All Back Home,Bob Dylan
1965-10-20,Herman's Hermits On Tour,Herman's Hermits
1965-10-20,My Fair Lady,Soundtrack
1965-10-20,Summer Days (And Summer Nights!!),The Beach Boys
1965-10-20,The Hit Sounds Of The Lettermen,The Lettermen
1965-10-20,September Of My Year,Frank Sinatra
1965-10-20,(Remember Me) I'm The One Who Loves You,Dean Martin
1965-10-20,Having A Wild Weekend,The Dave Clark Five
1965-10-20,Dear Heart,Andy Williams
1965-10-27,Help! (Soundtrack),The Beatles
1965-10-27,Look At Us,Sonny & Cher
1965-10-27,The Sound Of Music,Soundtrack
1965-10-27,Highway 61 Revisited,Bob Dylan
1965-10-27,The In Crowd,Ramsey Lewis Trio
1965-10-27,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-10-27,Out Of Our Heads,The Rolling Stones
1965-10-27,Mary Poppins,Soundtrack
1965-10-27,More Hits By The Supremes,The Supremes
1965-10-27,Herman's Hermits On Tour,Herman's Hermits
1965-10-27,Summer Days (And Summer Nights!!),The Beach Boys
1965-10-27,My Name Is Barbra,Barbra Streisand
1965-10-27,Elvis For Everyone!,Elvis Presley
1965-10-27,My Fair Lady,Soundtrack
1965-10-27,Bringing It All Back Home,Bob Dylan
1965-10-27,(Remember Me) I'm The One Who Loves You,Dean Martin
1965-10-27,All I Really Want To Do,Cher
1965-10-27,Gentle Is My Love,Nancy Wilson
1965-10-27,Having A Wild Weekend,The Dave Clark Five
1965-10-27,Tony's Greatest Hits; Volume III,Tony Bennett
1965-11-03,Help! (Soundtrack),The Beatles
1965-11-03,The In Crowd,Ramsey Lewis Trio
1965-11-03,Highway 61 Revisited,Bob Dylan
1965-11-03,The Sound Of Music,Soundtrack
1965-11-03,Look At Us,Sonny & Cher
1965-11-03,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-11-03,Out Of Our Heads,The Rolling Stones
1965-11-03,Mary Poppins,Soundtrack
1965-11-03,Herman's Hermits On Tour,Herman's Hermits
1965-11-03,My Name Is Barbra,Barbra Streisand
1965-11-03,Summer Days (And Summer Nights!!),The Beach Boys
1965-11-03,More Hits By The Supremes,The Supremes
1965-11-03,(Remember Me) I'm The One Who Loves You,Dean Martin
1965-11-03,Bringing It All Back Home,Bob Dylan
1965-11-03,Elvis For Everyone!,Elvis Presley
1965-11-03,All I Really Want To Do,Cher
1965-11-03,Gentle Is My Love,Nancy Wilson
1965-11-03,You Don't Have To Be Jewish,Various Artists
1965-11-03,Beatles VI,The Beatles
1965-11-03,My Fair Lady,Soundtrack
1965-11-10,The Sound Of Music,Soundtrack
1965-11-10,Help! (Soundtrack),The Beatles
1965-11-10,The In Crowd,Ramsey Lewis Trio
1965-11-10,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-11-10,Highway 61 Revisited,Bob Dylan
1965-11-10,Look At Us,Sonny & Cher
1965-11-10,Out Of Our Heads,The Rolling Stones
1965-11-10,Mary Poppins,Soundtrack
1965-11-10,My Name Is Barbra,Barbra Streisand
1965-11-10,Herman's Hermits On Tour,Herman's Hermits
1965-11-10,You Don't Have To Be Jewish,Various Artists
1965-11-10,(Remember Me) I'm The One Who Loves You,Dean Martin
1965-11-10,Summer Days (And Summer Nights!!),The Beach Boys
1965-11-10,Bringing It All Back Home,Bob Dylan
1965-11-10,More Hits By The Supremes,The Supremes
1965-11-10,All I Really Want To Do,Cher
1965-11-10,Elvis For Everyone!,Elvis Presley
1965-11-10,A Session With Gary Lewis And The Playboys,Gary Lewis And The Playboys
1965-11-10,!!Going Places!!,Herb Alpert & The Tijuana Brass
1965-11-10,Organ Grinder Swing,Jimmy Smith
1965-11-17,The Sound Of Music,Soundtrack
1965-11-17,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-11-17,Help! (Soundtrack),The Beatles
1965-11-17,The In Crowd,Ramsey Lewis Trio
1965-11-17,Look At Us,Sonny & Cher
1965-11-17,Highway 61 Revisited,Bob Dylan
1965-11-17,My Name Is Barbra; Two...,Barbra Streisand
1965-11-17,!!Going Places!!,Herb Alpert & The Tijuana Brass
1965-11-17,Out Of Our Heads,The Rolling Stones
1965-11-17,You Don't Have To Be Jewish,Various Artists
1965-11-17,My Name Is Barbra,Barbra Streisand
1965-11-17,Mary Poppins,Soundtrack
1965-11-17,Bringing It All Back Home,Bob Dylan
1965-11-17,Herman's Hermits On Tour,Herman's Hermits
1965-11-17,More Hits By The Supremes,The Supremes
1965-11-17,Organ Grinder Swing,Jimmy Smith
1965-11-17,Summer Days (And Summer Nights!!),The Beach Boys
1965-11-17,A Session With Gary Lewis And The Playboys,Gary Lewis And The Playboys
1965-11-17,(Remember Me) I'm The One Who Loves You,Dean Martin
1965-11-17,The Ventures A Go-Go,The Ventures
1965-11-24,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-11-24,My Name Is Barbra; Two...,Barbra Streisand
1965-11-24,The Sound Of Music,Soundtrack
1965-11-24,Help! (Soundtrack),The Beatles
1965-11-24,The In Crowd,Ramsey Lewis Trio
1965-11-24,Highway 61 Revisited,Bob Dylan
1965-11-24,!!Going Places!!,Herb Alpert & The Tijuana Brass
1965-11-24,Look At Us,Sonny & Cher
1965-11-24,You Don't Have To Be Jewish,Various Artists
1965-11-24,Out Of Our Heads,The Rolling Stones
1965-11-24,My Name Is Barbra,Barbra Streisand
1965-11-24,Mary Poppins,Soundtrack
1965-11-24,Bringing It All Back Home,Bob Dylan
1965-11-24,Farewell; Angelina,Joan Baez
1965-11-24,Organ Grinder Swing,Jimmy Smith
1965-11-24,The Best Of Herman's Hermits,Herman's Hermits
1965-11-24,More Hits By The Supremes,The Supremes
1965-11-24,Herman's Hermits On Tour,Herman's Hermits
1965-11-24,The Ventures A Go-Go,The Ventures
1965-11-24,Summer Days (And Summer Nights!!),The Beach Boys
1965-12-01,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-12-01,My Name Is Barbra; Two...,Barbra Streisand
1965-12-01,The Sound Of Music,Soundtrack
1965-12-01,Help! (Soundtrack),The Beatles
1965-12-01,!!Going Places!!,Herb Alpert & The Tijuana Brass
1965-12-01,The In Crowd,Ramsey Lewis Trio
1965-12-01,The Best Of Herman's Hermits,Herman's Hermits
1965-12-01,Look At Us,Sonny & Cher
1965-12-01,Highway 61 Revisited,Bob Dylan
1965-12-01,Welcome To The LBJ Ranch!,Various Artists
1965-12-01,Farewell; Angelina,Joan Baez
1965-12-01,You Don't Have To Be Jewish,Various Artists
1965-12-01,Out Of Our Heads,The Rolling Stones
1965-12-01,Beach Boys' Party!,The Beach Boys
1965-12-01,See What Tomorrow Brings,Peter| Paul & Mary
1965-12-01,Harum Scarum,Elvis Presley
1965-12-01,Organ Grinder Swing,Jimmy Smith
1965-12-01,The Ventures A Go-Go,The Ventures
1965-12-01,My Fair Lady,Soundtrack
1965-12-01,Mary Poppins,Soundtrack
1965-12-08,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-12-08,My Name Is Barbra; Two...,Barbra Streisand
1965-12-08,The Sound Of Music,Soundtrack
1965-12-08,Welcome To The LBJ Ranch!,Various Artists
1965-12-08,!!Going Places!!,Herb Alpert & The Tijuana Brass
1965-12-08,The Best Of Herman's Hermits,Herman's Hermits
1965-12-08,Help! (Soundtrack),The Beatles
1965-12-08,The In Crowd,Ramsey Lewis Trio
1965-12-08,Beach Boys' Party!,The Beach Boys
1965-12-08,Farewell; Angelina,Joan Baez
1965-12-08,Harum Scarum,Elvis Presley
1965-12-08,Look At Us,Sonny & Cher
1965-12-08,See What Tomorrow Brings,Peter| Paul & Mary
1965-12-08,Out Of Our Heads,The Rolling Stones
1965-12-08,Highway 61 Revisited,Bob Dylan
1965-12-08,The Ventures A Go-Go,The Ventures
1965-12-08,You Don't Have To Be Jewish,Various Artists
1965-12-08,Houston,Dean Martin
1965-12-08,My World,Eddy Arnold
1965-12-08,September Of My Year,Frank Sinatra
1965-12-15,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-12-15,The Sound Of Music,Soundtrack
1965-12-15,Welcome To The LBJ Ranch!,Various Artists
1965-12-15,My Name Is Barbra; Two...,Barbra Streisand
1965-12-15,!!Going Places!!,Herb Alpert & The Tijuana Brass
1965-12-15,The Best Of Herman's Hermits,Herman's Hermits
1965-12-15,Beach Boys' Party!,The Beach Boys
1965-12-15,The In Crowd,Ramsey Lewis Trio
1965-12-15,Help! (Soundtrack),The Beatles
1965-12-15,Harum Scarum,Elvis Presley
1965-12-15,See What Tomorrow Brings,Peter| Paul & Mary
1965-12-15,Look At Us,Sonny & Cher
1965-12-15,December's Children (And Everybody's),The Rolling Stones
1965-12-15,The Supremes At The Copa,The Supremes
1965-12-15,My World,Eddy Arnold
1965-12-15,Houston,Dean Martin
1965-12-15,September Of My Year,Frank Sinatra
1965-12-15,Highway 61 Revisited,Bob Dylan
1965-12-15,Out Of Our Heads,The Rolling Stones
1965-12-15,Farewell; Angelina,Joan Baez
1965-12-22,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-12-22,The Sound Of Music,Soundtrack
1965-12-22,Welcome To The LBJ Ranch!,Various Artists
1965-12-22,!!Going Places!!,Herb Alpert & The Tijuana Brass
1965-12-22,The Best Of Herman's Hermits,Herman's Hermits
1965-12-22,My Name Is Barbra; Two...,Barbra Streisand
1965-12-22,Beach Boys' Party!,The Beach Boys
1965-12-22,December's Children (And Everybody's),The Rolling Stones
1965-12-22,The In Crowd,Ramsey Lewis Trio
1965-12-22,Harum Scarum,Elvis Presley
1965-12-22,Help! (Soundtrack),The Beatles
1965-12-22,The Supremes At The Copa,The Supremes
1965-12-22,My World,Eddy Arnold
1965-12-22,September Of My Year,Frank Sinatra
1965-12-22,Houston,Dean Martin
1965-12-22,See What Tomorrow Brings,Peter| Paul & Mary
1965-12-22,Look At Us,Sonny & Cher
1965-12-22,Golden Hits,Roger Miller
1965-12-22,Out Of Our Heads,The Rolling Stones
1965-12-22,That Was The Year That Was,Tom Lehrer
1965-12-29,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1965-12-29,The Sound Of Music,Soundtrack
1965-12-29,Welcome To The LBJ Ranch!,Various Artists
1965-12-29,!!Going Places!!,Herb Alpert & The Tijuana Brass
1965-12-29,December's Children (And Everybody's),The Rolling Stones
1965-12-29,Beach Boys' Party!,The Beach Boys
1965-12-29,The Best Of Herman's Hermits,Herman's Hermits
1965-12-29,Harum Scarum,Elvis Presley
1965-12-29,My Name Is Barbra; Two...,Barbra Streisand
1965-12-29,My World,Eddy Arnold
1965-12-29,The Supremes At The Copa,The Supremes
1965-12-29,September Of My Year,Frank Sinatra
1965-12-29,Houston,Dean Martin
1965-12-29,Golden Hits,Roger Miller
1965-12-29,Help! (Soundtrack),The Beatles
1965-12-29,The In Crowd,Ramsey Lewis Trio
1965-12-29,Mary Poppins,Soundtrack
1965-12-29,Look At Us,Sonny & Cher
1965-12-29,That Was The Year That Was,Tom Lehrer
1965-12-29,Out Of Our Heads,The Rolling Stones
1966-01-05,Rubber Soul,The Beatles
1966-01-05,The Sound Of Music,Soundtrack
1966-01-05,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1966-01-05,December's Children (And Everybody's),The Rolling Stones
1966-01-05,!!Going Places!!,Herb Alpert & The Tijuana Brass
1966-01-05,The Best Of Herman's Hermits,Herman's Hermits
1966-01-05,My World,Eddy Arnold
1966-01-05,Harum Scarum,Elvis Presley
1966-01-05,My Name Is Barbra; Two...,Barbra Streisand
1966-01-05,Welcome To The LBJ Ranch!,Various Artists
1966-01-05,September Of My Year,Frank Sinatra
1966-01-05,Golden Hits,Roger Miller
1966-01-05,Houston,Dean Martin
1966-01-05,Beach Boys' Party!,The Beach Boys
1966-01-05,The Supremes At The Copa,The Supremes
1966-01-05,Mary Poppins,Soundtrack
1966-01-05,Help! (Soundtrack),The Beatles
1966-01-05,That Was The Year That Was,Tom Lehrer
1966-01-05,The In Crowd,Ramsey Lewis Trio
1966-01-05,Look At Us,Sonny & Cher
1966-01-12,Rubber Soul,The Beatles
1966-01-12,The Sound Of Music,Soundtrack
1966-01-12,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1966-01-12,December's Children (And Everybody's),The Rolling Stones
1966-01-12,!!Going Places!!,Herb Alpert & The Tijuana Brass
1966-01-12,The Best Of Herman's Hermits,Herman's Hermits
1966-01-12,My World,Eddy Arnold
1966-01-12,September Of My Year,Frank Sinatra
1966-01-12,Golden Hits,Roger Miller
1966-01-12,My Name Is Barbra; Two...,Barbra Streisand
1966-01-12,Houston,Dean Martin
1966-01-12,Harum Scarum,Elvis Presley
1966-01-12,Welcome To The LBJ Ranch!,Various Artists
1966-01-12,Beach Boys' Party!,The Beach Boys
1966-01-12,Mary Poppins,Soundtrack
1966-01-12,Temptin' Temptations,The Temptations
1966-01-12,The Supremes At The Copa,The Supremes
1966-01-12,Help! (Soundtrack),The Beatles
1966-01-12,That Was The Year That Was,Tom Lehrer
1966-01-12,Going To A Go-Go,Smokey Robinson & The Miracles
1966-01-19,Rubber Soul,The Beatles
1966-01-19,Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass
1966-01-19,The Sound Of Music,Soundtrack
1966-01-19,December's Children (And Everybody's),The Rolling Stones
1966-01-19,!!Going Places!!,Herb Alpert & The Tijuana Brass
1966-01-19,The Best Of Herman's Hermits,Herman's Hermits
